==1598336== NVPROF is profiling process 1598336, command: /u/r/n/rnjain/sc22_artifact/sec5c_pagerank/gpu-app-collection/src/..//bin/11.2/release/pagerank_spmv data_dirs/pannotia/pagerank_spmv/data/rajat30.mtx 2
==1598336== Profiling application: /u/r/n/rnjain/sc22_artifact/sec5c_pagerank/gpu-app-collection/src/..//bin/11.2/release/pagerank_spmv data_dirs/pannotia/pagerank_spmv/data/rajat30.mtx 2
==1598336== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","System","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,,,
0.174039,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"135/850","[SM/Memory Clock (MHz)]",
0.174060,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"58","[Temperature (C)]",
0.174422,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"32535/250000","[Power/Limit (mW)]",
0.174558,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
0.224747,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"58","[Temperature (C)]",
0.227149,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"38301/250000","[Power/Limit (mW)]",
0.277969,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1200/850","[SM/Memory Clock (MHz)]",
0.277994,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"58","[Temperature (C)]",
0.280455,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"41559/250000","[Power/Limit (mW)]",
0.280634,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
0.330858,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.339155,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"42908/250000","[Power/Limit (mW)]",
0.389749,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1200/850","[SM/Memory Clock (MHz)]",
0.389763,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.392113,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"42922/250000","[Power/Limit (mW)]",
0.392397,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
0.442614,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.444968,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"42811/250000","[Power/Limit (mW)]",
0.498720,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1200/850","[SM/Memory Clock (MHz)]",
0.498734,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.502913,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"42908/250000","[Power/Limit (mW)]",
0.503090,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
0.526575,0.245822,,,,,,,,,,2.456646,9.759372,"Pageable","Device","NVIDIA TITAN V (0)","1","7",,"[CUDA memcpy HtoD]",118
0.526920,4.467941,,,,,,,,,,42.274567,9.239996,"Pageable","Device","NVIDIA TITAN V (0)","1","7",,"[CUDA memcpy HtoD]",119
0.528207,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.530590,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43101/250000","[Power/Limit (mW)]",
0.531475,0.230079,,,,,,,,,,2.456642,10.427134,"Pageable","Device","NVIDIA TITAN V (0)","1","7",,"[CUDA memcpy HtoD]",120
0.531717,0.020959,10063,1,1,64,1,1,16,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"inibuffer(float*, float*, int)",121
0.531750,211.062463,10063,1,1,64,1,1,22,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"inicsr(int*, int*, float*, int*, int, int)",124
0.581141,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1200/850","[SM/Memory Clock (MHz)]",
0.581152,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.583504,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43308/250000","[Power/Limit (mW)]",
0.583670,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
0.633856,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.636222,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43197/250000","[Power/Limit (mW)]",
0.686727,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1320/850","[SM/Memory Clock (MHz)]",
0.686738,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.689068,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"45410/250000","[Power/Limit (mW)]",
0.689226,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
0.739415,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.742829,71.979328,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",127
0.746167,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"47144/250000","[Power/Limit (mW)]",
0.796663,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1320/850","[SM/Memory Clock (MHz)]",
0.796674,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.799012,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"45602/250000","[Power/Limit (mW)]",
0.799181,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
0.814810,0.020128,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",128
